ID,Brand,CPU,GPU,RAM,Storage,Screen,Operating_System,Price_USD
15,Acer,Intel Core i9-14900K,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,1723.82
16,Razer,Intel Core i7-14700K,Intel Arc A770,16GB DDR4,2TB SSD,"14"" 4K",macOS Sonoma,4600.03
17,Lenovo,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,4024.57
18,Razer,Intel Core i7-14700K,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,4745.62
19,Apple,Intel Core i5-14600K,Intel Arc A770,64GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,4077.08
20,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,3805.32
21,Microsoft,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,3833.8
22,Asus,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,4252.09
23,Microsoft,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,3295.34
24,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 10 Pro,1432.38
25,Lenovo,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,3628.08
26,Acer,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,1715.58
27,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 10 Pro,3912.89
28,HP,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"17.3"" QHD",macOS Sonoma,864.41
29,Asus,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"13.3"" Retina",macOS Sonoma,4743.07
30,Samsung,AMD Ryzen 9 7950X,Intel Arc A770,128GB DDR5,2TB SSD,"13.3"" Retina",Ubuntu 22.04,1190.64
31,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,4998.85
32,Asus,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3276.83
33,Acer,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"13.3"" Retina",Ubuntu 22.04,754.6
34,Razer,AMD Ryzen 9 7950X,Intel Arc A770,64GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,3242.93
35,Razer,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"13.3"" Retina",macOS Sonoma,2471.97
36,Razer,Intel Core i7-14700K,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"14"" 4K",Ubuntu 22.04,4627.17
37,Asus,Intel Core i7-14700K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,3169.73
38,HP,Intel Core i7-14700K,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,4073.96
39,Acer,AMD Ryzen 9 7950X,Intel Arc A770,64GB DDR5,512GB SSD,"13.3"" Retina",Ubuntu 22.04,3910.22
40,Razer,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"15.6"" FHD",Ubuntu 22.04,3253.52
41,MSI,Intel Core i9-14900K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,1216.3
42,Dell,AMD Ryzen 9 7950X,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,4818.85
43,Samsung,Intel Core i9-14900K,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,904.15
44,HP,Intel Core i5-14600K,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,961.34
45,Samsung,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,3194.38
46,Razer,Intel Core i5-14600K,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 11,2033.15
47,Asus,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 11,3803.43
48,MSI,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"13.3"" Retina",Windows 11,2385.33
49,Samsung,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,32GB DDR4,512GB SSD,"13.3"" Retina",macOS Sonoma,4976.65
50,HP,Intel Core i9-14900K,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,1417.38
51,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"13.3"" Retina",Ubuntu 22.04,1295.04
52,Acer,AMD Ryzen 5 7600X,Intel Arc A770,32GB DDR4,2TB SSD,"14"" 4K",Ubuntu 22.04,2080.28
53,MSI,Intel Core i9-14900K,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,3941.74
54,HP,Intel Core i9-14900K,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,1098.15
55,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,4764.55
56,Apple,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,997.86
57,Asus,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,4892.27
58,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4080,16GB DDR4,512GB SSD,"13.3"" Retina",Ubuntu 22.04,2905.21
59,Dell,AMD Ryzen 7 7800X,Intel Arc A770,32GB DDR4,2TB SSD,"14"" 4K",Windows 11,1905.04
60,Acer,AMD Ryzen 5 7600X,Intel Arc A770,64GB DDR5,2TB SSD,"15.6"" FHD",Ubuntu 22.04,4507.78
61,Dell,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"15.6"" FHD",Ubuntu 22.04,2491.11
62,MSI,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,4662.07
63,Asus,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"15.6"" FHD",macOS Sonoma,4459.82
64,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,4414.28
65,Acer,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,3735.05
66,Razer,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",macOS Sonoma,4835.56
67,HP,AMD Ryzen 5 7600X,Intel Arc A770,64GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,4371.06
68,Lenovo,AMD Ryzen 9 7950X,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,933.98
69,Lenovo,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"13.3"" Retina",macOS Sonoma,4223.96
70,Lenovo,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,1560.91
71,Apple,Intel Core i5-14600K,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,2497.42
72,Acer,AMD Ryzen 7 7800X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",macOS Sonoma,3755.54
73,HP,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,3520.83
74,Lenovo,AMD Ryzen 9 7950X,Intel Arc A770,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,3863.05
75,Razer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,4236.86
76,HP,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"17.3"" QHD",Windows 10 Pro,3533.71
77,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"14"" 4K",Windows 11,4487.04
78,MSI,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD,"13.3"" Retina",Windows 11,4942.94
79,Dell,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"14"" 4K",Windows 10 Pro,3192.4
80,Acer,Intel Core i7-14700K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"17.3"" QHD",macOS Sonoma,3150.06
81,Lenovo,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,128GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,2302.85
82,Lenovo,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,1165.45
83,Dell,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"13.3"" Retina",Windows 11,2692.42
84,Acer,Intel Core i7-14700K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,1308.12
85,Asus,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,2179.63
86,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4090,16GB DDR4,2TB SSD,"14"" 4K",macOS Sonoma,4704.51
87,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,1951.45
88,Microsoft,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,3958.85
89,Razer,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"15.6"" FHD",Ubuntu 22.04,2706.96
90,Lenovo,AMD Ryzen 7 7800X,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,4845.04
91,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"14"" 4K",Windows 11,3253.98
92,Asus,Intel Core i9-14900K,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 11,3594.84
93,Razer,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,1134.31
94,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,4414.5
95,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,3875.25
96,Acer,Intel Core i5-14600K,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"17.3"" QHD",Ubuntu 22.04,4685.31
97,Samsung,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,16GB DDR4,2TB SSD,"15.6"" FHD",Ubuntu 22.04,3217.08
98,Microsoft,AMD Ryzen 9 7950X,Intel Arc A770,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,2620.35
99,HP,Intel Core i5-14600K,Intel Arc A770,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,868.31
100,Lenovo,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,4582.39
101,Razer,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,1565.91
102,Samsung,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"15.6"" FHD",Ubuntu 22.04,4518.61
103,Microsoft,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 10 Pro,3316.26
104,Samsung,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,1440.64
105,Samsung,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,3624.59
106,Acer,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"14"" 4K",Windows 11,1971.5
107,Apple,Intel Core i7-14700K,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,2561.01
108,Acer,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,4947.48
109,Asus,Intel Core i9-14900K,Intel Arc A770,32GB DDR4,2TB SSD,"14"" 4K",Ubuntu 22.04,4442.93
110,Apple,Intel Core i9-14900K,Intel Arc A770,16GB DDR4,512GB SSD,"17.3"" QHD",Ubuntu 22.04,1594.72
111,MSI,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,1458.64
112,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"13.3"" Retina",Windows 11,1968.33
113,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,4555.46
114,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,3808.11
115,Microsoft,AMD Ryzen 9 7950X,Intel Arc A770,128GB DDR5,1TB SSD,"17.3"" QHD",Windows 10 Pro,2540.66
116,Microsoft,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 10 Pro,1701.36
117,Acer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,4934.81
118,Samsung,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,1034.46
119,Dell,Intel Core i7-14700K,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"13.3"" Retina",Ubuntu 22.04,4979.53
120,Dell,Intel Core i9-14900K,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 11,2667.8
121,Acer,Intel Core i9-14900K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,2290.72
122,Razer,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,2997.7
123,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,3151.37
124,Acer,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2222.8
125,Lenovo,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,1154.89
126,Dell,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"15.6"" FHD",Ubuntu 22.04,1618.98
127,Lenovo,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 11,3759.52
128,HP,Intel Core i9-14900K,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,1129.32
129,Samsung,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,16GB DDR4,2TB SSD,"13.3"" Retina",macOS Sonoma,3768.58
130,Razer,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"14"" 4K",Windows 10 Pro,1385.38
131,Asus,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"14"" 4K",Windows 11,2809.92
132,Lenovo,AMD Ryzen 7 7800X,Intel Arc A770,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,3618.79
133,Samsung,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",Ubuntu 22.04,840.88
134,Microsoft,Intel Core i5-14600K,NVIDIA RTX 4080,128GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,2328.42
135,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 10 Pro,3152.78
136,Microsoft,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,2906.22
137,Acer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 10 Pro,4234.23
138,Dell,Intel Core i7-14700K,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3865.33
139,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,3235.73
140,Acer,Intel Core i5-14600K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,2816.91
141,Microsoft,Intel Core i7-14700K,Intel Arc A770,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,4443.26
142,Lenovo,AMD Ryzen 7 7800X,NVIDIA RTX 4090,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,1271.25
143,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",macOS Sonoma,3716.94
144,Apple,Intel Core i9-14900K,NVIDIA RTX 4080,128GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,2385.99
145,Razer,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,2667.28
146,Asus,AMD Ryzen 5 7600X,Intel Arc A770,64GB DDR5,2TB SSD,"13.3"" Retina",Windows 10 Pro,1276.15
147,Asus,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,1200.26
148,Asus,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,1471.6
149,Dell,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,1341.81
150,Apple,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"14"" 4K",Windows 11,3173.98
151,Apple,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"15.6"" FHD",Ubuntu 22.04,3650.7
152,Lenovo,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,1890.82
153,MSI,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,1951.07
154,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4080,32GB DDR4,1TB SSD,"15.6"" FHD",macOS Sonoma,2515.61
155,Acer,Intel Core i7-14700K,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,3399.78
156,Acer,AMD Ryzen 5 7600X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"15.6"" FHD",Windows 10 Pro,3965.83
157,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,3935.4
158,Acer,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"14"" 4K",Windows 10 Pro,2258.68
159,Acer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,1814.9
160,Apple,Intel Core i9-14900K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,4548.99
161,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,1185.62
162,Asus,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"14"" 4K",Windows 11,1285.34
163,HP,AMD Ryzen 5 7600X,Intel Arc A770,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,1413.76
164,Apple,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,732.39
165,Razer,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",macOS Sonoma,1099.77
166,Acer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3470.37
167,MSI,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,4440.61
168,Samsung,Intel Core i9-14900K,Intel Arc A770,128GB DDR5,1TB SSD,"14"" 4K",Windows 11,1814.47
169,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,4482.05
170,Lenovo,Intel Core i7-14700K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,2968.38
171,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,4568.11
172,Acer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,4855.12
173,Asus,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"13.3"" Retina",Windows 11,2329.21
174,HP,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,4410.77
175,Asus,AMD Ryzen 5 7600X,Intel Arc A770,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,4010.15
176,Microsoft,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,3803.87
177,Lenovo,Intel Core i5-14600K,Intel Arc A770,32GB DDR4,512GB SSD,"15.6"" FHD",Ubuntu 22.04,3288.15
178,HP,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,2053.96
179,Asus,Intel Core i5-14600K,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,4548.35
180,HP,Intel Core i9-14900K,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,3078.48
181,Dell,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,2188.62
182,Dell,AMD Ryzen 9 7950X,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,4889.27
183,Dell,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD,"14"" 4K",Ubuntu 22.04,4605.36
184,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,1646.57
185,Samsung,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD,"17.3"" QHD",Windows 10 Pro,2824.52
186,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"14"" 4K",Windows 10 Pro,3121.64
