battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
518,0,1.5,1,0,0,12,0.2,129,3,2,295,675,1299,14,4,13,0,1,0,0
1331,1,2.0,1,3,0,10,0.7,146,4,7,610,876,1525,6,4,15,1,1,1,1
1558,1,2.1,1,7,1,17,0.7,180,5,10,1041,1113,2740,12,7,12,1,1,1,2
3322,1,2.7,1,10,1,34,0.9,171,7,19,1082,1907,3969,11,7,12,1,1,1,3
614,0,1.2,0,2,0,13,0.2,135,3,5,592,761,872,12,2,9,0,1,0,0
1348,1,1.8,1,4,0,13,0.8,136,3,4,481,891,1696,14,6,15,1,1,1,1
1962,1,2.1,1,12,1,36,0.7,167,5,11,966,1345,2177,15,3,10,1,1,1,2
2667,1,2.5,1,12,1,61,1.2,152,6,12,1004,1923,4081,10,5,12,1,1,1,3
1080,1,0.9,0,0,0,4,0.2,116,3,2,282,564,1098,5,3,7,0,1,0,0
1391,1,1.0,1,4,0,9,0.5,143,4,4,742,863,1976,6,4,10,1,1,1,1
1770,1,2.3,1,12,1,21,0.7,171,4,8,643,1485,2440,12,6,13,1,1,1,2
2147,1,2.4,1,13,1,45,1.1,161,6,19,1144,1844,4039,10,4,13,1,1,1,3
937,0,0.6,1,4,0,6,0.4,148,2,7,248,773,541,5,4,12,0,1,0,0
1013,1,1.1,1,5,1,24,0.5,175,4,8,714,1099,1862,11,2,12,1,1,1,1
2023,1,1.9,1,5,1,28,0.7,139,5,9,1033,1113,2034,17,6,11,1,1,1,2
3350,1,3.2,1,13,1,37,1.4,194,6,17,1266,1574,3556,12,7,14,1,1,1,3
796,1,1.1,1,0,0,15,0.3,137,2,1,262,489,980,9,3,11,0,1,0,0
1136,1,1.7,1,2,1,28,0.6,154,2,7,837,817,1120,6,2,8,1,1,1,1
2120,1,1.9,1,8,1,21,1.0,162,4,14,762,1588,2399,14,5,13,1,1,1,2
2884,1,3.3,1,14,1,61,0.9,175,6,18,1249,1438,3149,12,5,14,1,1,1,3
1055,0,1.2,1,0,0,9,0.1,116,2,2,269,726,560,8,4,7,0,0,1,0
1313,1,1.4,1,6,1,26,0.4,150,4,4,561,1065,1667,16,3,17,1,1,1,1
1627,1,2.2,1,8,1,43,0.9,183,4,8,634,1335,2078,17,4,18,1,1,1,2
2148,1,2.5,1,14,1,48,0.8,163,6,14,1044,1528,3655,19,4,12,1,1,1,3
1058,1,1.5,1,2,0,7,0.6,131,3,7,212,676,953,7,5,13,0,1,0,0
1474,1,1.3,1,3,0,28,0.5,155,2,4,577,839,1551,7,2,12,1,1,1,1
1871,1,2.2,1,8,1,28,0.7,141,5,9,1032,1377,2394,14,6,16,1,1,1,2
2745,1,2.7,1,13,1,39,1.1,148,6,15,1375,1813,3299,17,4,12,1,1,1,3
950,1,1.1,1,3,0,8,0.5,115,2,3,424,421,388,9,4,7,0,0,1,0
1176,1,1.9,1,1,0,9,0.6,173,4,5,854,949,1999,13,5,14,1,1,1,1
1619,1,1.9,1,10,1,41,0.6,167,4,8,752,1351,2384,15,7,13,1,1,1,2
2498,1,3.2,1,14,1,51,1.4,156,6,13,1040,1997,3176,18,5,16,1,1,1,3
909,1,0.7,1,0,0,13,0.2,90,2,7,415,777,1255,6,2,13,0,1,1,0
1373,1,1.4,1,5,0,28,0.7,129,4,8,671,1374,1133,10,5,16,1,1,1,1
1415,1,1.5,1,9,1,25,0.6,133,4,8,921,1047,2128,9,5,11,1,1,1,2
3143,1,2.9,1,11,1,37,0.9,195,6,15,1146,1687,3024,17,7,13,1,1,1,3
618,0,1.4,0,2,0,11,0.6,143,3,6,420,933,1196,9,2,11,0,1,1,0
1246,1,1.7,1,6,0,12,0.5,158,3,6,817,1168,1158,8,6,9,1,1,1,1
1757,1,2.1,1,7,1,45,0.7,199,4,10,1013,1491,1844,17,6,15,1,1,1,2
2270,1,2.4,1,10,1,38,1.5,181,6,13,1356,1715,3540,14,7,15,1,1,1,3
556,0,1.0,0,1,0,6,0.6,83,3,0,514,848,1003,8,3,8,0,0,0,0
1107,1,1.2,1,2,0,12,0.5,145,3,7,452,909,1253,14,2,17,1,1,1,1
1618,1,1.5,1,8,1,29,0.8,138,5,13,927,1354,2387,9,7,14,1,1,1,2
3262,1,2.5,1,13,1,63,1.3,142,7,19,1339,1654,3567,19,7,17,1,1,1,3
800,0,0.8,1,4,0,15,0.1,141,3,1,163,846,999,6,5,11,0,1,1,0
1006,1,1.2,1,1,0,26,0.6,167,2,8,746,978,1106,13,6,13,1,1,1,1
1825,1,2.2,1,9,1,34,0.7,169,4,8,759,1161,2919,15,7,12,1,1,1,2
2971,1,3.1,1,10,1,46,1.2,165,7,18,1197,1584,3964,18,4,13,1,1,1,3
899,1,1.3,1,2,0,6,0.5,89,3,4,215,461,735,7,2,6,0,0,0,0
1354,1,1.5,1,4,1,26,0.7,153,3,6,632,1370,1608,10,3,11,1,1,1,1
1426,1,2.1,1,12,1,40,0.8,146,4,14,1001,1280,1937,12,6,12,1,1,1,2
2446,1,2.3,1,14,1,50,0.7,167,7,12,1141,1947,3999,13,4,16,1,1,1,3
631,1,1.0,1,3,0,7,0.5,138,3,4,173,957,1191,6,5,6,0,1,0,0
1352,1,1.4,1,5,0,19,0.5,130,2,7,511,1383,1178,8,5,16,1,1,1,1
1922,1,1.7,1,6,1,20,0.8,166,5,9,649,1459,2575,9,7,13,1,1,1,2
2736,1,2.3,1,11,1,33,1.5,193,7,14,1325,1426,3337,12,5,19,1,1,1,3
1083,0,1.1,0,1,0,5,0.4,126,2,3,369,429,446,10,3,6,0,0,1,0
1586,1,1.8,1,3,1,11,0.4,171,4,6,557,930,1314,16,5,16,1,1,1,1
1990,1,2.3,1,7,1,35,0.8,187,5,11,762,1181,2589,9,5,14,1,1,1,2
2693,1,3.4,1,13,1,43,1.2,155,7,19,1278,1465,3033,11,4,14,1,1,1,3
1059,0,1.0,0,3,0,12,0.1,97,2,3,583,746,413,7,5,7,0,0,0,0
1076,1,2.1,1,3,1,31,0.5,148,4,6,438,1156,1555,7,6,12,1,1,1,1
1650,1,2.3,1,5,1,40,0.8,136,5,13,850,1578,2814,8,6,19,1,1,1,2
2261,1,2.7,1,14,1,48,1.3,179,7,17,1323,1445,3461,13,4,19,1,1,1,3
916,0,1.2,0,4,0,9,0.4,102,2,1,581,418,1270,9,2,7,0,1,0,0
1520,1,2.0,1,1,1,11,0.7,155,4,8,691,1196,1687,8,5,10,1,1,1,1
1749,1,2.5,1,5,1,43,0.8,189,5,13,746,1272,2410,16,6,17,1,1,1,2
2200,1,2.8,1,10,1,56,1.1,168,6,19,1135,1695,3115,17,7,12,1,1,1,3
799,1,0.5,0,4,0,5,0.4,113,2,3,303,506,1054,5,2,11,0,1,1,0
1386,1,1.9,1,3,0,19,0.7,175,2,4,718,821,1888,14,5,10,1,1,1,1
2121,1,2.2,1,7,1,34,0.8,186,4,14,926,1502,2627,14,5,14,1,1,1,2
2052,1,3.0,1,13,1,57,0.8,173,7,16,1378,1816,3094,13,7,17,1,1,1,3
579,0,0.7,1,4,0,14,0.2,148,3,2,354,449,732,10,3,9,0,0,0,0
1225,1,1.5,1,5,0,23,0.8,137,3,6,698,942,1620,8,2,12,1,1,1,1
2044,1,1.8,1,6,1,40,0.8,175,5,10,914,1129,2379,13,4,10,1,1,1,2
2202,1,3.3,1,11,1,35,1.3,192,6,15,1370,1957,3345,17,5,18,1,1,1,3
1063,0,1.4,1,3,0,7,0.6,143,3,7,480,875,532,12,3,14,0,1,1,0
1352,1,1.0,1,1,1,17,0.7,133,3,4,802,1373,1179,7,6,8,1,1,1,1
1858,1,2.1,1,9,1,18,0.7,180,4,12,843,1285,2356,10,6,10,1,1,1,2
2487,1,2.4,1,12,1,53,1.1,153,7,16,1031,1818,4008,17,6,16,1,1,1,3
1099,0,1.0,0,4,0,14,0.6,91,3,1,571,842,450,13,2,10,0,0,1,0
1228,1,1.3,1,4,0,17,0.7,123,2,8,416,902,1189,14,6,14,1,1,1,1
1581,1,1.9,1,9,1,17,1.0,157,4,10,651,1515,2334,9,4,15,1,1,1,2
2254,1,3.3,1,12,1,53,0.9,145,6,17,1197,1936,3825,18,5,15,1,1,1,3
717,0,1.0,0,2,0,10,0.5,131,3,7,447,463,697,13,2,7,0,0,0,0
1545,1,1.9,1,3,1,25,0.7,130,4,7,402,1040,1419,14,4,16,1,1,1,1
2152,1,1.8,1,9,1,17,0.8,171,4,11,993,1222,2761,17,5,14,1,1,1,2
2942,1,2.5,1,14,1,44,0.9,183,7,17,1018,1509,3745,10,6,13,1,1,1,3
648,1,0.8,0,3,0,15,0.4,136,3,5,375,501,380,10,4,12,0,1,0,0
1170,1,1.3,1,5,0,21,0.7,172,2,8,877,865,1035,10,2,14,1,1,1,1
2188,1,2.1,1,11,1,32,1.0,145,4,11,1061,1155,1951,11,7,12,1,1,1,2
2399,1,2.3,1,11,1,35,1.2,174,7,14,1356,1785,3926,19,6,12,1,1,1,3
1059,1,1.2,1,4,0,11,0.4,95,2,0,345,482,501,11,4,14,0,1,1,0
1546,1,1.9,1,4,1,27,0.5,160,2,7,889,944,1577,11,4,17,1,1,1,1
1926,1,2.5,1,10,1,33,0.7,136,5,8,790,1168,1956,13,6,18,1,1,1,2
3221,1,2.6,1,10,1,32,1.0,185,7,18,1235,1516,3948,15,7,16,1,1,1,3
1005,1,1.2,0,1,0,6,0.5,145,3,3,477,697,1108,6,2,10,0,1,0,0
1446,1,1.5,1,2,0,21,0.5,128,3,7,584,1314,1204,14,5,8,1,1,1,1
1727,1,2.5,1,6,1,23,0.8,167,5,9,1062,1397,2387,14,7,17,1,1,1,2
2742,1,2.3,1,11,1,60,1.4,148,6,19,1192,1924,3690,16,5,14,1,1,1,3
644,1,0.5,1,2,0,9,0.6,88,2,3,327,924,1148,7,5,9,0,0,0,0
1113,1,2.0,1,4,0,27,0.7,149,3,4,812,1110,1594,7,4,15,1,1,1,1
1571,1,1.6,1,8,1,37,0.7,147,4,13,976,1075,2593,12,6,11,1,1,1,2
2297,1,2.2,1,10,1,32,1.0,149,7,13,1071,1834,3433,17,6,13,1,1,1,3
1080,0,1.1,0,2,0,6,0.6,126,1,7,567,634,658,12,5,6,0,0,0,0
1194,1,1.2,1,3,1,27,0.7,123,3,5,819,1380,1992,10,4,10,1,1,1,1
1791,1,1.6,1,11,1,21,0.9,133,5,9,732,1010,2517,10,4,13,1,1,1,2
2835,1,2.6,1,13,1,55,1.5,158,7,18,1054,1815,3320,13,6,18,1,1,1,3
515,0,1.1,0,2,0,7,0.5,94,3,2,256,989,1166,13,4,6,0,1,1,0
1102,1,1.4,1,5,1,9,0.6,165,2,6,651,852,1340,16,3,10,1,1,1,1
1447,1,2.3,1,12,1,38,0.6,195,5,11,791,1118,2118,16,4,11,1,1,1,2
3336,1,3.1,1,14,1,52,0.9,152,6,13,1387,1631,3230,18,7,14,1,1,1,3
546,1,1.5,0,0,0,7,0.6,116,1,5,437,642,649,11,2,12,0,1,0,0
1270,1,2.1,1,3,0,11,0.5,135,4,5,635,1132,1007,14,6,17,1,1,1,1
2157,1,1.6,1,11,1,36,0.7,143,4,11,1096,1236,2404,12,5,15,1,1,1,2
2999,1,2.8,1,11,1,59,1.5,165,7,12,1171,1751,3102,10,7,14,1,1,1,3
651,1,1.3,0,0,0,14,0.5,87,1,7,541,630,959,13,4,10,0,1,0,0
1584,1,1.3,1,2,1,13,0.6,157,3,5,768,1244,1984,12,4,17,1,1,1,1
1692,1,1.8,1,9,1,22,0.8,141,4,12,1081,1312,1942,13,6,10,1,1,1,2
3408,1,3.3,1,11,1,34,0.9,143,6,18,1321,1687,3835,10,5,16,1,1,1,3
902,0,1.3,1,1,0,8,0.4,93,1,3,271,932,401,9,2,11,0,1,0,0
1072,1,1.4,1,6,0,16,0.7,139,3,9,566,1254,1834,8,6,11,1,1,1,1
1434,1,1.6,1,10,1,19,0.8,145,4,8,727,1154,1847,9,5,11,1,1,1,2
2172,1,2.6,1,14,1,56,0.8,164,6,19,1395,1654,4056,18,4,15,1,1,1,3
549,1,0.5,0,1,0,15,0.4,102,1,7,264,773,516,7,2,9,0,0,0,0
1180,1,1.4,1,5,0,11,0.6,148,2,8,647,1270,1335,16,6,12,1,1,1,1
1897,1,2.5,1,8,1,44,0.9,139,5,13,1064,1507,1958,17,6,13,1,1,1,2
3125,1,3.3,1,12,1,50,1.3,178,7,14,1325,1802,4091,17,5,16,1,1,1,3
868,0,1.5,1,1,0,6,0.1,132,2,0,285,465,417,11,2,8,0,0,0,0
1457,1,1.2,1,6,0,28,0.6,124,4,4,728,976,1419,13,6,16,1,1,1,1
1538,1,1.8,1,8,1,23,0.7,148,5,14,1054,1061,2681,10,4,10,1,1,1,2
2376,1,2.3,1,12,1,63,1.2,163,6,12,1218,1511,3259,15,6,17,1,1,1,3
1058,0,0.9,1,3,0,4,0.5,110,1,7,402,974,540,6,3,14,0,0,1,0
1519,1,1.4,1,2,1,22,0.8,129,3,6,491,981,1839,16,6,9,1,1,1,1
1576,1,1.6,1,8,1,27,0.7,163,4,14,685,1360,1982,16,4,19,1,1,1,2
2497,1,2.9,1,13,1,55,1.3,173,6,13,1325,1967,4028,19,5,17,1,1,1,3
903,0,1.4,0,2,0,14,0.5,138,2,6,248,803,673,9,4,7,0,0,1,0
1327,1,2.0,1,5,1,16,0.8,165,4,4,530,948,1809,9,4,17,1,1,1,1
1538,1,2.4,1,7,1,22,0.8,178,4,14,1058,1173,2314,14,3,14,1,1,1,2
2530,1,3.0,1,12,1,32,1.4,150,7,12,1312,1844,3584,11,4,15,1,1,1,3
904,1,0.7,0,0,0,7,0.4,131,2,2,181,889,870,10,4,11,0,0,0,0
1255,1,1.4,1,3,1,27,0.6,124,4,6,644,1285,1372,9,6,15,1,1,1,1
2079,1,2.1,1,11,1,29,0.9,193,4,8,656,1173,1892,13,5,10,1,1,1,2
3316,1,3.4,1,11,1,55,1.0,155,7,13,1080,1890,3830,16,7,12,1,1,1,3
788,0,0.6,1,2,0,13,0.5,141,2,1,498,852,733,5,3,11,0,0,0,0
1436,1,1.6,1,2,0,16,0.4,179,4,9,856,1200,1526,13,2,14,1,1,1,1
2156,1,2.4,1,11,1,43,0.8,147,5,9,858,1464,2841,12,3,17,1,1,1,2
2699,1,3.0,1,12,1,53,1.2,155,6,12,1022,1756,3525,11,7,12,1,1,1,3
552,0,0.7,0,2,0,13,0.2,122,1,0,558,676,972,8,3,6,0,1,0,0
1519,1,1.8,1,4,1,24,0.6,149,3,7,731,923,1197,14,2,17,1,1,1,1
1670,1,2.1,1,6,1,42,0.7,152,5,11,1013,1017,2260,12,4,14,1,1,1,2
2000,1,2.8,1,12,1,36,1.5,187,6,19,1304,1489,3957,10,6,12,1,1,1,3
1089,1,0.8,1,3,0,11,0.3,114,2,3,221,981,884,10,5,5,0,1,1,0
1063,1,1.2,1,1,0,16,0.6,141,4,5,732,1223,1567,8,5,14,1,1,1,1
1677,1,2.0,1,11,1,20,0.7,188,5,8,634,1487,2983,9,7,14,1,1,1,2
3176,1,3.5,1,11,1,55,1.4,192,7,17,1367,1977,3262,11,5,15,1,1,1,3
953,0,0.6,0,4,0,7,0.4,100,2,7,570,405,1130,14,2,5,0,1,1,0
1424,1,2.1,1,6,0,18,0.5,127,2,5,627,1361,1132,15,4,10,1,1,1,1
1554,1,2.4,1,7,1,34,0.9,165,4,8,781,1471,2204,14,7,17,1,1,1,2
2209,1,2.6,1,12,1,41,0.9,197,7,19,1306,1841,3468,12,6,15,1,1,1,3
770,0,0.9,1,0,0,13,0.5,83,1,6,316,541,595,12,2,8,0,0,0,0
1197,1,1.9,1,6,1,26,0.7,164,4,5,587,940,1500,9,4,12,1,1,1,1
1869,1,1.8,1,9,1,38,0.9,181,5,10,645,1198,2250,11,3,15,1,1,1,2
2734,1,3.4,1,12,1,52,1.3,187,7,15,1398,1454,3734,14,4,17,1,1,1,3
730,0,0.9,1,0,0,14,0.5,106,3,1,439,818,514,14,2,7,0,0,0,0
1345,1,2.2,1,6,1,19,0.5,135,3,7,429,1347,1117,16,3,10,1,1,1,1
1826,1,2.0,1,6,1,38,0.8,197,5,14,627,1085,2281,13,4,15,1,1,1,2
3315,1,2.6,1,14,1,47,1.0,188,6,15,1345,1428,3638,11,6,14,1,1,1,3
799,1,1.3,1,3,0,10,0.2,91,1,7,241,982,812,11,4,8,0,0,0,0
1115,1,1.9,1,2,1,25,0.5,152,2,6,747,1146,1827,15,5,9,1,1,1,1
1977,1,1.6,1,10,1,36,0.9,147,5,10,942,1541,2124,8,7,13,1,1,1,2
3038,1,2.9,1,11,1,53,1.5,188,7,15,1179,1810,3188,13,5,18,1,1,1,3
545,1,1.4,1,0,0,15,0.5,104,1,3,340,575,1107,5,3,14,0,0,0,0
1470,1,1.5,1,1,0,8,0.6,162,3,5,557,982,1620,13,6,13,1,1,1,1
1709,1,1.7,1,10,1,23,0.8,180,5,13,921,1474,2852,15,4,18,1,1,1,2
2272,1,2.7,1,10,1,51,1.0,186,6,18,1306,1599,3877,12,6,14,1,1,1,3
863,1,0.9,1,3,0,12,0.3,109,1,5,315,705,713,14,3,9,0,1,1,0
1192,1,1.9,1,2,1,21,0.7,170,3,9,833,1297,1908,14,3,14,1,1,1,1
1917,1,2.0,1,12,1,20,0.8,194,4,12,640,1130,2316,8,6,11,1,1,1,2
2964,1,2.3,1,12,1,36,1.0,176,6,15,1289,1941,3584,10,7,14,1,1,1,3
549,0,0.5,1,1,0,12,0.3,87,2,2,507,617,866,6,3,12,0,0,1,0
1302,1,1.6,1,5,0,11,0.5,151,3,8,717,1026,1669,11,2,12,1,1,1,1
1793,1,1.6,1,11,1,25,0.9,163,5,8,959,1471,2775,11,4,15,1,1,1,2
2856,1,3.3,1,11,1,60,1.2,153,6,18,1233,1873,3974,16,7,15,1,1,1,3
832,0,0.8,1,1,0,6,0.3,106,3,3,228,602,926,13,3,5,0,1,1,0
1004,1,1.8,1,4,0,26,0.5,125,2,6,561,1065,1625,8,6,12,1,1,1,1
1720,1,2.2,1,12,1,30,0.8,195,4,11,748,1595,1826,10,5,12,1,1,1,2
3184,1,2.8,1,13,1,47,1.2,196,6,13,1067,1962,3585,17,4,12,1,1,1,3
836,1,1.5,1,2,0,10,0.1,110,1,6,380,753,1064,5,2,14,0,0,0,0
1219,1,1.4,1,1,0,8,0.8,139,2,6,581,1017,1652,8,3,15,1,1,1,1
1444,1,2.2,1,11,1,22,0.7,162,4,9,1059,1362,2566,13,6,17,1,1,1,2
2881,1,3.0,1,14,1,37,1.1,140,6,14,1372,1414,3105,14,7,13,1,1,1,3
580,0,1.0,1,1,0,11,0.3,142,3,4,238,691,1000,8,2,7,0,1,0,0
1364,1,1.0,1,2,0,19,0.7,160,2,4,735,1396,1978,9,2,16,1,1,1,1
1488,1,1.7,1,6,1,24,0.6,186,4,13,1077,1267,1857,14,5,10,1,1,1,2
3187,1,3.1,1,11,1,41,0.9,188,7,19,1126,1560,3905,10,5,17,1,1,1,3
729,0,1.2,0,0,0,13,0.6,119,3,5,566,499,447,6,3,14,0,1,0,0
1181,1,1.9,1,3,0,29,0.6,164,4,9,767,912,1926,11,2,13,1,1,1,1
1493,1,1.7,1,10,1,24,0.9,132,4,10,826,1416,2092,14,4,16,1,1,1,2
2336,1,3.3,1,14,1,34,1.5,142,6,13,1300,1494,3286,18,6,16,1,1,1,3
857,1,1.3,1,0,0,14,0.6,124,1,3,516,673,1196,11,5,14,0,0,0,0
1496,1,1.7,1,3,1,12,0.4,121,4,5,708,1221,1828,15,2,10,1,1,1,1
1878,1,2.5,1,11,1,16,0.6,195,4,9,805,1595,1823,14,3,12,1,1,1,2
2446,1,3.1,1,14,1,50,1.3,140,6,15,1101,1450,3705,12,5,18,1,1,1,3
532,0,0.8,0,2,0,12,0.3,100,3,7,287,982,1058,7,2,6,0,0,1,0
1105,1,1.6,1,1,1,24,0.7,172,4,9,492,1013,1592,13,4,8,1,1,1,1
1471,1,2.1,1,7,1,36,0.6,199,4,10,863,1283,1832,14,5,17,1,1,1,2
2634,1,3.4,1,13,1,49,1.4,176,7,15,1180,1945,3851,14,4,17,1,1,1,3
501,0,1.4,1,3,0,15,0.4,108,1,2,455,821,475,5,5,11,0,0,1,0
1550,1,2.0,1,6,1,10,0.7,151,4,7,525,1233,1737,7,6,17,1,1,1,1
2148,1,2.5,1,5,1,17,0.7,180,4,12,1095,1198,2453,16,4,13,1,1,1,2
2155,1,3.0,1,12,1,39,0.7,164,7,17,1348,1778,3171,18,5,13,1,1,1,3
630,1,0.8,1,2,0,11,0.4,132,3,1,393,705,1278,12,4,13,0,0,1,0
1230,1,1.2,1,5,0,13,0.8,129,4,5,498,1211,1699,6,6,15,1,1,1,1
2056,1,1.8,1,11,1,46,0.8,147,4,13,692,1479,2469,13,5,12,1,1,1,2
3322,1,2.3,1,13,1,55,1.2,171,7,18,1306,1721,3908,18,6,14,1,1,1,3
507,1,1.1,1,0,0,11,0.3,81,2,7,188,965,888,5,2,14,0,1,0,0
1257,1,1.6,1,5,0,17,0.7,146,2,8,883,1271,1117,12,2,14,1,1,1,1
1547,1,2.1,1,12,1,17,0.8,167,4,9,1037,1107,2544,17,6,11,1,1,1,2
2634,1,2.9,1,11,1,36,0.9,199,6,12,1083,1556,3944,14,6,18,1,1,1,3
579,1,0.9,0,3,0,8,0.6,124,1,7,310,772,1250,5,3,6,0,1,0,0
1476,1,1.0,1,4,1,29,0.6,164,3,9,696,1039,1553,6,5,15,1,1,1,1
1854,1,2.4,1,12,1,39,0.8,177,5,14,799,1380,2687,11,6,18,1,1,1,2
3291,1,2.7,1,12,1,53,1.3,178,7,18,1106,1421,3359,16,6,19,1,1,1,3
747,0,1.1,1,4,0,12,0.1,103,1,3,336,528,944,10,2,9,0,0,1,0
1407,1,2.0,1,2,0,15,0.4,179,3,5,544,1153,1543,9,3,11,1,1,1,1
1571,1,1.7,1,7,1,24,0.9,145,4,14,1008,1544,2819,9,7,17,1,1,1,2
2976,1,3.2,1,14,1,42,0.7,152,6,17,1080,1743,3146,10,7,16,1,1,1,3
917,1,1.5,0,1,0,7,0.4,122,1,0,198,436,1049,13,5,9,0,0,0,0
1239,1,1.4,1,5,0,22,0.6,139,4,8,680,1091,1078,14,6,15,1,1,1,1
1476,1,2.1,1,11,1,41,0.9,149,4,12,753,1085,2789,9,7,11,1,1,1,2
2971,1,2.3,1,10,1,53,1.0,195,6,16,1230,1825,3207,18,5,18,1,1,1,3
779,0,0.7,1,1,0,11,0.3,109,3,7,247,728,1284,8,5,7,0,0,0,0
1372,1,2.1,1,3,1,8,0.8,160,2,5,432,814,1613,8,3,16,1,1,1,1
1915,1,1.8,1,7,1,18,0.9,182,4,9,652,1523,2275,12,7,15,1,1,1,2
3168,1,2.5,1,10,1,47,1.3,167,7,17,1055,1536,3469,19,5,17,1,1,1,3
505,1,0.5,1,1,0,14,0.2,132,1,5,400,909,598,9,4,7,0,0,0,0
1231,1,2.1,1,4,0,11,0.5,139,2,7,722,820,1898,7,6,11,1,1,1,1
1753,1,2.5,1,12,1,30,0.7,175,5,11,832,1104,2986,13,4,19,1,1,1,2
2691,1,3.4,1,13,1,61,1.3,186,7,15,1050,1939,3251,16,7,13,1,1,1,3
517,0,1.2,0,4,0,12,0.6,137,1,0,550,693,1003,14,5,9,0,0,1,0
1534,1,1.9,1,2,0,20,0.7,135,2,5,561,1140,1879,12,6,12,1,1,1,1
2021,1,2.1,1,12,1,35,0.6,186,4,11,965,1292,2032,13,4,19,1,1,1,2
2093,1,2.3,1,14,1,37,1.1,188,6,16,1148,1645,3772,14,6,15,1,1,1,3
873,0,1.3,1,0,0,4,0.6,87,2,7,411,775,840,12,5,13,0,1,1,0
1085,1,1.4,1,1,1,8,0.5,158,3,4,748,830,1100,13,5,16,1,1,1,1
2151,1,1.9,1,6,1,43,0.7,194,4,12,866,1454,2154,8,7,16,1,1,1,2
2748,1,2.3,1,13,1,43,1.5,188,7,14,1319,1676,3178,15,4,14,1,1,1,3
564,0,1.1,0,2,0,10,0.6,135,1,1,585,803,689,11,4,14,0,0,1,0
1065,1,1.0,1,2,1,16,0.4,149,2,9,776,1121,1218,11,2,8,1,1,1,1
1832,1,2.4,1,7,1,41,0.6,141,5,12,792,1498,2473,16,3,13,1,1,1,2
2459,1,2.5,1,13,1,50,1.0,175,6,16,1216,1615,3401,12,7,17,1,1,1,3
524,1,0.5,1,4,0,7,0.2,119,1,1,407,477,792,12,2,7,0,1,1,0
1285,1,1.5,1,3,1,9,0.6,173,4,9,737,1194,1720,9,3,15,1,1,1,1
1451,1,1.6,1,11,1,30,0.8,197,4,11,910,1327,2250,11,4,19,1,1,1,2
2934,1,3.3,1,12,1,32,1.1,165,7,17,1108,1903,3558,10,7,19,1,1,1,3
1059,0,0.8,0,1,0,12,0.2,126,2,5,351,551,754,8,4,14,0,0,1,0
1056,1,1.5,1,2,0,9,0.7,165,2,8,658,839,1082,10,6,9,1,1,1,1
1799,1,2.3,1,7,1,41,0.8,141,5,12,1055,1559,2911,13,3,12,1,1,1,2
2819,1,3.1,1,14,1,60,0.7,162,6,17,1370,1906,3724,12,7,15,1,1,1,3
